x1, x2, x3, x4, x5, x6, your predictions, stimulation outcome
323.48964727789945,288.168377683658,248.52329814029162,288.55223390173086,288.3229818980992,250.43810817129037,1,0
278.83505005946165,332.3830337973104,321.39908818355576,300.8155778789327,312.59206244411445,335.1155237440592,1,1
328.1358282121951,256.5467111655126,340.7240190797158,288.81530567541336,327.2408500854784,343.5006062904258,0,1
257.26579041765586,309.8783851352732,279.8762247516881,295.53233650930304,295.53371757204116,222.48416302725678,1,1
309.559319488674,347.66188668472915,335.123460804975,355.6385016073043,311.3437565439601,289.6852965533479,1,1
239.44152421654337,320.7672694162227,317.27684207783227,258.4993312601951,301.982647349005,345.2182164094771,1,1
331.00721536401903,336.24403107014473,300.49178632286186,325.57795515811813,279.5398657741878,359.58172312097366,1,1
278.2241552146301,328.0048300895514,304.2939070088996,340.57991113432627,289.0228923376679,319.13720028019765,0,1
327.5952575316105,337.9015272323743,241.8454784556809,314.7914131084404,200.25235223951438,313.75628150157144,0,0
356.626654009931,320.37427106653456,234.11429919872984,312.8639193911066,351.0882517595069,266.48622946750845,0,0
317.5970011724897,298.3263183004687,277.47511734650465,305.8442457130842,291.1859435832596,275.6407428811531,0,0
340.0620261989844,284.3276316010918,298.7933430781178,304.1906119305341,315.88393445630794,348.9871466436352,1,1
291.94375484694655,249.3434644387383,316.59614020747495,320.9188571857612,311.34580718213994,372.5235608465221,1,1
288.83349700367904,235.74913421983422,316.6188529937631,290.8053160311687,350.3042343501787,306.87117978750956,0,0
285.698746756365,288.1256261891845,307.7556237329718,341.97203501529873,309.748533763742,324.4378803631729,0,0
269.8141672574956,350.1459608465622,335.44743783909263,324.3293199307799,362.5248421440704,267.5255414038175,0,1
287.4067494211166,307.23173238093636,316.2207730849451,268.3113542892236,346.18408060334383,325.22197327065953,0,0
317.8175570310831,330.1947032899726,307.5650714037065,328.4015574332215,294.0565365956326,253.11946365193486,1,1
341.0365126358771,299.20229592906185,320.4977836483114,280.9755002309252,307.65305305012583,322.36909104876236,0,1
370.4337422153525,368.4525889681235,249.35261694563133,297.45571753072466,296.70277104541105,327.9161804388791,0,0
262.7476259187829,289.5916128392447,345.39832085149783,277.5667022394613,345.47159865870606,307.2667958403904,0,0
348.2173947359856,328.2665848843959,342.3376244188406,281.38357357574176,314.5668646739172,280.7605399162723,1,1
272.81982767441093,305.6168227293786,309.1896978991126,280.7719995665213,294.77647949376814,325.8342338364097,1,1
301.64029157954104,303.0423846318946,263.3393268770848,319.2260667590929,294.60779250970245,298.92290880848424,0,1
280.4014844065516,279.31969650136693,311.4250873125473,300.19551236501906,302.8345787338238,319.86245724738507,1,1
353.30689213404327,292.3269536390158,308.90110741805773,321.32992645680935,278.88109027538053,304.131442450636,0,1
258.3742783169329,327.8017833044961,286.7561653374153,322.9813008704269,287.2804986797842,330.77089851550767,1,1
255.53839780005342,277.11087198696555,281.77425347794434,305.7116116910372,367.64953202253275,277.07270532091707,0,0
